Rundate,Service Provider,ConsentID or Water Group,Activity Number,Meters,Type,Limit,Max Use,Percent Over Limit,Date of Highest Overage,Date of Earliest Non-compliance,Date of Latest Non-compliance
16-Jan-2019,WaterCheck,CRC950174,CRC950174-1,L36/0895-M1,14 day Volume,7560.0 m3,8064.0 m3,6.7%,2-Jan-2019 00:00:00,2-Jan-2019 00:00:00,14-Jan-2019 00:00:00
16-Jan-2019,Loncel,CRC961298,CRC961298-1,I40/0566-M1,Take Rate,280.0 l/s,27777.8 l/s,9820.6%,1-Jan-2019 01:14:19,1-Jan-2019 01:14:07,5-Jan-2019 03:14:18
16-Jan-2019,Loncel,CRC961298,CRC961298-1,I40/0566-M1,14 day Volume,145160.0 m3,1380568.0 m3,851.1%,6-Jan-2019 00:00:00,2-Jan-2019 00:00:00,13-Jan-2019 00:00:00
16-Jan-2019,Loncel,CRC180535,CRC180535-1,I40/0566-M1,Take Rate,280.0 l/s,27777.8 l/s,9820.6%,1-Jan-2019 01:14:19,1-Jan-2019 01:14:07,5-Jan-2019 03:14:18
16-Jan-2019,Loncel,CRC180535,CRC180535-1,I40/0566-M1,14 day Volume,145160.0 m3,1380568.0 m3,851.1%,6-Jan-2019 00:00:00,2-Jan-2019 00:00:00,13-Jan-2019 00:00:00
16-Jan-2019,Watermetrics,CRC111326,CRC111326-1,M35/11234-M1,Take Rate,43.0 l/s,55.6 l/s,29.2%,1-Jan-2019 00:00:00,1-Jan-2019 00:00:00,14-Jan-2019 23:45:00
16-Jan-2019,Watermetrics,CRC111326,CRC111326-1,M35/11234-M1,14 day Volume,44582.0 m3,67200.0 m3,50.7%,3-Jan-2019 00:00:00,2-Jan-2019 00:00:00,14-Jan-2019 00:00:00
16-Jan-2019,Watermetrics,CRC990565.3,CRC990565.3-1,M35/11234-M1,Take Rate,20.0 l/s,55.6 l/s,177.8%,1-Jan-2019 00:00:00,1-Jan-2019 00:00:00,14-Jan-2019 23:45:00
16-Jan-2019,Watermetrics,CRC990565.3,CRC990565.3-1,M35/11234-M1,14 day Volume,22176.0 m3,67200.0 m3,203.0%,3-Jan-2019 00:00:00,2-Jan-2019 00:00:00,14-Jan-2019 00:00:00
16-Jan-2019,,CRC164689,CRC164689-3,BY21/0082-M1,Take Rate,160.0 l/s,500.0 l/s,212.5%,8-Jan-2019 00:00:00,8-Jan-2019 00:00:00,13-Jan-2019 13:45:00
16-Jan-2019,,CRC164689,CRC164689-3,BY21/0082-M1,7 day Volume,92623.0 m3,302400.0 m3,226.5%,9-Jan-2019 00:00:00,9-Jan-2019 00:00:00,13-Jan-2019 00:00:00
16-Jan-2019,,CRC040492.1,CRC040492.1-1,N34/0303-M1,Take Rate,36.0 l/s,55.6 l/s,54.3%,8-Jan-2019 00:00:00,8-Jan-2019 00:00:00,15-Jan-2019 01:30:00
16-Jan-2019,Watermetrics,CRC040488,CRC040488-1,N34/0339-M1,Take Rate - Low Flow Ban,0 l/s,11.1 l/s,-,12-Jan-2019 09:45:00,12-Jan-2019 08:00:00,12-Jan-2019 16:30:00
